B,H,Q,topk,seed,global_mean_adjacent_overlap,adjacent_pair_count
4,2048,128,2048,20260803,0.9691210168553149,508
4,4096,128,2048,20260803,0.4896538201279528,508
4,8192,128,2048,20260803,0.24428095780019685,508
4,16384,128,2048,20260803,0.12926284910187008,508
4,32768,128,2048,20260803,0.0797840028297244,508
4,65536,128,2048,20260803,0.04158272330216536,508
4,131072,128,2048,20260803,0.015809547244094488,508
4,262144,128,2048,20260803,0.0052374892347440945,508
4,524288,128,2048,20260803,0.004319558932086614,508
4,2048,256,2048,20260803,0.9418571920955883,1020
4,4096,256,2048,20260803,0.4838915058210784,1020
4,8192,256,2048,20260803,0.2451559627757353,1020
4,16384,256,2048,20260803,0.1269320618872549,1020
4,32768,256,2048,20260803,0.06951210171568628,1020
4,65536,256,2048,20260803,0.03744111902573529,1020
4,131072,256,2048,20260803,0.015268841911764705,1020
4,262144,256,2048,20260803,0.005283011642156863,1020
4,524288,256,2048,20260803,0.005942191329656863,1020
4,2048,512,2048,20260803,0.8919756566475049,2044
4,4096,512,2048,20260803,0.47063599827238256,2044
4,8192,512,2048,20260803,0.24213016756360078,2044
4,16384,512,2048,20260803,0.12530505633867417,2044
4,32768,512,2048,20260803,0.0640673254800636,2044
4,65536,512,2048,20260803,0.03313504273177593,2044
4,131072,512,2048,20260803,0.014896161402274951,2044
4,262144,512,2048,20260803,0.00654616981103229,2044
4,524288,512,2048,20260803,0.006788877125122309,2044
4,2048,1024,2048,20260803,0.8110806193869134,4092
4,4096,1024,2048,20260803,0.44471252978372433,4092
4,8192,1024,2048,20260803,0.23407012253329668,4092
4,16384,1024,2048,20260803,0.11878181226325757,4092
4,32768,1024,2048,20260803,0.05930636378910068,4092
4,65536,1024,2048,20260803,0.0332396387005132,4092
4,131072,1024,2048,20260803,0.015894795676014175,4092
4,262144,1024,2048,20260803,0.007383404356060606,4092
4,524288,1024,2048,20260803,0.005351047012463343,4092
4,2048,2048,2048,20260803,0.6928704377786089,8188
4,4096,2048,2048,20260803,0.405060067896617,8188
4,8192,2048,2048,20260803,0.22194887430538593,8188
4,16384,2048,2048,20260803,0.1153695647403212,8188
4,32768,2048,2048,20260803,0.05986311427546409,8188
4,65536,2048,2048,20260803,0.031994944965192965,8188
4,131072,2048,2048,20260803,0.015344482779677577,8188
4,262144,2048,2048,20260803,0.0072265982802576945,8188
4,524288,2048,2048,20260803,0.004678507228566195,8188
4,2048,4096,2048,20260803,0.5486394302312271,16380
4,4096,4096,2048,20260803,0.34607517861912396,16380
4,8192,4096,2048,20260803,0.2013648921607906,16380
4,16384,4096,2048,20260803,0.11089478284302504,16380
4,32768,4096,2048,20260803,0.058944579183837,16380
4,65536,4096,2048,20260803,0.030985886942918192,16380
4,131072,4096,2048,20260803,0.01591471950358669,16380
4,262144,4096,2048,20260803,0.0071580004197191694,16380
4,524288,4096,2048,20260803,0.004044566544566545,16380
4,2048,8192,2048,20260803,0.40197770299528446,32764
4,4096,8192,2048,20260803,0.27451590946808996,32764
4,8192,8192,2048,20260803,0.17239761771685386,32764
4,16384,8192,2048,20260803,0.10131531916699732,32764
4,32768,8192,2048,20260803,0.055393081607290014,32764
4,65536,8192,2048,20260803,0.029184670460528323,32764
4,131072,8192,2048,20260803,0.015186599025416615,32764
4,262144,8192,2048,20260803,0.007604245751816017,32764
4,524288,8192,2048,20260803,0.0038920623626541324,32764
4,2048,16384,2048,20260803,0.2749917785275705,65532
4,4096,16384,2048,20260803,0.20102067859023073,65532
