history_bin,phase,layer_group,adjacent_overlap_count,adjacent_overlap_mean,adjacent_overlap_p10,adjacent_overlap_p50,adjacent_overlap_p90,consecutive_c4_fraction_count,consecutive_c4_fraction_mean,consecutive_c4_fraction_p10,consecutive_c4_fraction_p50,consecutive_c4_fraction_p90,within_128_tokens_mean,within_128_tokens_p50,within_512_tokens_mean,within_512_tokens_p50,within_2048_tokens_mean,within_2048_tokens_p50,within_8192_tokens_mean,within_8192_tokens_p50,within_32768_tokens_mean,within_32768_tokens_p50
64K+,prefill,all,2688,0.41139003208705355,0.08203125,0.4033203125,0.728515625,2688,0.3612038137172677,0.24266144814090018,0.35812133072407043,0.487279843444227,0.024621872674851192,0.01953125,0.07569158644903273,0.0595703125,0.15473792666480654,0.130859375,0.31072053455171134,0.28515625,0.6797703334263393,0.67578125
64K+,prefill,early,896,0.5154854910714286,0.158203125,0.578125,0.7392578125,896,0.41535111476097286,0.31898238747553814,0.41291585127201563,0.5205479452054794,0.038752964564732144,0.04296875,0.11708286830357142,0.123046875,0.2270355224609375,0.2265625,0.3949345179966518,0.400390625,0.7277308872767857,0.732421875
64K+,prefill,late,896,0.41556876046316965,0.1279296875,0.376953125,0.7353515625,896,0.3144220016773832,0.20156555772994128,0.3062622309197651,0.4324853228962818,0.018899100167410716,0.013671875,0.05627659388950893,0.04296875,0.110382080078125,0.08984375,0.24006434849330358,0.216796875,0.5956159319196429,0.591796875
64K+,prefill,middle,896,0.3031158447265625,0.044921875,0.2412109375,0.6572265625,896,0.353838324713447,0.25244618395303325,0.34833659491193736,0.4657534246575342,0.016213553292410716,0.01171875,0.053715297154017856,0.0390625,0.12679617745535715,0.103515625,0.29716273716517855,0.2626953125,0.7159641810825893,0.728515625
8K-16K,assistant,all,18816,0.7079488533694728,0.4453125,0.7578125,0.8828125,18816,0.567599024688153,0.4520547945205479,0.5714285714285714,0.6771037181996086,0.0423973239198023,0.044921875,0.1267755209994154,0.125,0.30954415457589285,0.30078125,0.7181159817442602,0.73828125,1.0,1.0
8K-16K,assistant,early,6272,0.721037261340083,0.5216796875,0.759765625,0.8671875,6272,0.6001381594712248,0.5088062622309197,0.6027397260273972,0.6908023483365949,0.04941854671556122,0.0546875,0.15037100655691965,0.15234375,0.35495088538345027,0.3515625,0.7487357003348214,0.759765625,1.0,1.0
8K-16K,assistant,late,6272,0.7365548270089286,0.46503906250000004,0.7890625,0.904296875,6272,0.5430016673988577,0.4090019569471624,0.5420743639921722,0.6810176125244618,0.036609260403380105,0.037109375,0.10710268604512117,0.103515625,0.2579155746771365,0.25,0.6583843620455995,0.658203125,1.0,1.0
8K-16K,assistant,middle,6272,0.6662544717594069,0.37109375,0.716796875,0.865234375,6272,0.5596572471943767,0.4657534246575342,0.5596868884540117,0.6536203522504892,0.04116416464046556,0.04296875,0.12285287039620536,0.12109375,0.31576600366709184,0.302734375,0.7472278828523597,0.7890625,1.0,1.0
8K-16K,prefill,all,18816,0.6492099891714498,0.34375,0.70703125,0.8515625,18816,0.5492359003288202,0.44227005870841485,0.5518590998043053,0.649706457925636,0.042870761585884355,0.046875,0.14065302634725765,0.142578125,0.32921688572890095,0.32421875,0.7116725169071535,0.7265625,1.0,1.0
8K-16K,prefill,early,6272,0.6977607571348852,0.47265625,0.7421875,0.84765625,6272,0.5829181476896043,0.4931506849315068,0.5851272015655578,0.6673189823874756,0.051591522839604595,0.05859375,0.16834461445711096,0.17578125,0.38641139439174105,0.390625,0.7438743747010523,0.755859375,1.0,1.0
8K-16K,prefill,late,6272,0.6590155776666136,0.353515625,0.71484375,0.8671875,6272,0.5182880331682574,0.4070450097847358,0.5205479452054794,0.62426614481409,0.03725884885204082,0.0390625,0.12024299465880102,0.12109375,0.27599163444674746,0.275390625,0.6573654486208546,0.650390625,1.0,1.0
8K-16K,prefill,middle,6272,0.5908536327128507,0.265625,0.63671875,0.8396484375000011,6272,0.5465015201285994,0.45596868884540115,0.5440313111545988,0.6436399217221146,0.039761913066007654,0.041015625,0.13337146992586096,0.134765625,0.3252476283482143,0.318359375,0.7337777273995536,0.76171875,1.0,1.0
