B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
4,131072,4,ok,65.53599885065417,0.06963200122117996,ok,,68.75908329414138,0.0663679987192154,1.0491803665163033
4,262144,4,ok,63.52175045932324,0.07184000313282013,ok,,68.99194118952104,0.06614399701356888,1.0861152391211368
4,524288,4,ok,62.93306903278365,0.07251200079917908,ok,,68.56073827489368,0.06656000018119812,1.0894230859642078
8,2048,4,ok,130.53210895799873,0.06992000341415405,ok,,145.81425002639878,0.06259199976921082,1.1170757232867308
8,4096,4,ok,129.8782684444893,0.07027199864387512,ok,,146.63890399432339,0.06224000081419945,1.1290488066292452
8,8192,4,ok,127.61193253857435,0.07152000069618225,ok,,141.2643244347716,0.06460800021886826,1.1069836623003135
8,16384,4,ok,124.00550681356339,0.07360000163316727,ok,,134.72492425523066,0.06774400174617767,1.0864430759335828
8,32768,4,ok,123.25526416063896,0.0740479975938797,ok,,131.3133844329534,0.06950400024652481,1.0653774938311136
8,65536,4,ok,122.93649811515311,0.07423999905586243,ok,,130.47239573930327,0.06995200365781784,1.0612991075855387
8,131072,4,ok,121.93786146057522,0.0748480036854744,ok,,129.58322242528024,0.07043199986219406,1.062698827690831
8,262144,4,ok,120.85282495533795,0.07552000135183334,ok,,130.17466110120026,0.07011199742555618,1.077133787723268
8,524288,4,ok,121.93786146057522,0.0748480036854744,ok,,129.8782684444893,0.07027199864387512,1.065118470086351
16,2048,4,ok,248.98531137308595,0.07331199944019318,ok,,282.6686542215207,0.06457599997520447,1.1352824496460465
16,4096,4,ok,239.47327855748512,0.07622399926185608,ok,,263.35427239289066,0.06931199878454208,1.0997230003249525
16,8192,4,ok,229.54741633786637,0.07952000200748444,ok,,252.96024783604818,0.07215999811887741,1.1019956219577784
16,16384,4,ok,222.64846019055307,0.08198399841785431,ok,,243.14806464132616,0.07507199794054031,1.0920716201370921
16,32768,4,ok,215.9883852062138,0.08451200276613235,ok,,236.29881809894164,0.0772479996085167,1.0940348383702974
16,65536,4,ok,214.44561818326363,0.08511999994516373,ok,,236.29881809894164,0.0772479996085167,1.1019055558272235
16,131072,4,ok,211.50364628058014,0.08630400151014328,ok,,235.51830410176544,0.077504001557827,1.1135425239398828
16,262144,4,ok,213.80259795441964,0.08537600189447403,ok,,235.51830410176544,0.077504001557827,1.101568953582011
16,524288,4,ok,215.49881590524063,0.08470399677753448,ok,,234.164762790828,0.07795199751853943,1.0866173988343175
32,2048,4,ok,370.4060751396738,0.09855999797582626,ok,,478.94655711497023,0.07622399926185608,1.2930310522967736
32,4096,4,ok,312.13426044602835,0.11695999652147293,ok,,449.8622612628932,0.08115199953317642,1.4412460222087016
