B,Q,kind,H,role,backend,status,skip_reason,figure2_hardware_tflops,effective_e2e_tflops,figure2_latency_us,latency_ms_median
2,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,30.814147948875817,16.976945367240667,18.511800000000022,0.03359999880194664
2,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,30.931613155112142,17.025588389979173,18.441499999999984,0.033504001796245575
4,1,decode,2048,dense,flashmla_dense_bf16,ok,,90.48410079074901,33.53865083737925,12.608299999999991,0.034015998244285583
4,1,decode,4096,dense,flashmla_dense_bf16,ok,,149.07527104281417,57.317657192486216,15.305699999999996,0.0398080013692379
4,1,decode,8192,dense,flashmla_dense_bf16,ok,,205.33484903843564,95.26141411759168,22.224199999999996,0.04790399968624115
4,1,decode,16384,dense,flashmla_dense_bf16,ok,,254.3568067465768,144.55787531048315,35.88190000000002,0.06313599646091461
4,1,decode,32768,dense,flashmla_dense_bf16,ok,,297.8236418339043,210.5667640638695,61.290000000000035,0.08668799698352814
4,1,decode,65536,dense,flashmla_dense_bf16,ok,,326.62750908560605,264.3305700380124,111.77019999999997,0.13811199367046356
4,1,decode,131072,dense,flashmla_dense_bf16,ok,,340.12221495943555,305.3668830433046,214.67120000000006,0.2391040027141571
4,1,decode,262144,dense,flashmla_dense_bf16,ok,,351.48706919218745,330.92115125914944,415.4602,0.4412800073623657
4,1,decode,524288,dense,flashmla_dense_bf16,ok,,361.88626396363026,350.9904901858591,807.0429999999999,0.8320959806442261
4,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,66.68794538004232,34.95253446563525,17.10730000000003,0.0326399989426136
4,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,66.90107712516424,34.88413368046747,17.05279999999999,0.03270399942994118
4,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,67.24374704554424,34.546110471512954,16.965900000000016,0.03302399814128876
4,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,67.3278776254522,34.57961420587464,16.9447,0.03299200162291527
4,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,67.26515656967662,34.41272678640144,16.960499999999996,0.03315199911594391
4,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,67.68819531875765,34.24743865731129,16.85449999999999,0.03331200033426285
4,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,67.59835562218181,34.31336300686254,16.876899999999996,0.03324799984693527
4,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,67.3306591123701,35.0212040182264,16.944000000000017,0.032575998455286026
4,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,67.10096976826262,34.95253446563525,17.00199999999999,0.0326399989426136
8,1,decode,2048,dense,flashmla_dense_bf16,ok,,136.12832913718424,60.78701616033154,16.761400000000002,0.03753599897027016
8,1,decode,4096,dense,flashmla_dense_bf16,ok,,197.78707593087822,99.30803402284617,23.072299999999995,0.045951999723911285
8,1,decode,8192,dense,flashmla_dense_bf16,ok,,258.55778803305486,155.00688351695425,35.2989,0.058880001306533813
