B,H,Q,random_tflops,random_latency_ms,outer_latency_ms,outer_tflops,outer_pass_spread,outer_pass_count,inner_latency_ms,inner_tflops,inner_pass_spread,inner_pass_count,inner_vs_outer_tflops,inner_vs_outer_latency
4,8192,8,112.3326786422475,0.08124800026416779,0.06963200122117996,131.07268975698756,0.004606207344321378,2,0.0692480020225048,131.8011076814692,0.008352623342162246,2,1.0055573584843047,0.9944853057223587
4,8192,32,243.87572292115044,0.1496960073709488,0.14159999787807465,257.82096156490155,0.004984073730194716,2,0.14132799953222275,258.3235143054436,0.011156680606818625,2,1.0019492315034888,0.9980791076982494
4,8192,128,448.8445759898222,0.3253439962863922,0.3259039968252182,448.07350929005645,0.0012772973234129736,2,0.3261120021343231,447.78763818473607,0.0009817928535940101,2,0.9993619995393762,1.0006382410499142
4,8192,512,524.8759444799355,1.1128640174865723,1.098304033279419,531.8348727768321,0.0023920273290101157,2,1.1136640310287476,524.50272018646,0.005416632946428912,2,0.986213479097207,1.0139851965247413
4,8192,1024,503.4992660169805,2.3202240467071533,2.273584008216858,513.9988817123294,0.037144917398357125,2,2.3165760040283203,504.38270898835594,0.027162077116214434,2,0.9812914520515331,1.0189093500200948
4,8192,4096,516.4958839929502,9.04736042022705,9.032079696655273,517.3697072745329,9.566681087092022e-05,2,9.29745626449585,502.6025150420229,0.000643857059833719,2,0.9714571765125127,1.0293815573769627
4,16384,2,31.34205057994209,0.07280000299215317,0.0713919997215271,31.960189423507035,0.0008968678222514015,2,0.07067200168967247,32.28579123840257,0.00045290198926783987,2,1.0101877310732097,0.9899148639250467
4,16384,8,126.76119301234593,0.07199999690055847,0.06977600231766701,130.80155812846863,0.001376788783611138,2,0.06931199878454208,131.67994298278572,0.00927650897429344,2,1.0067154005417456,0.9933500986340194
4,16384,32,230.89468857661078,0.15811200439929962,0.1464639976620674,249.25732153601393,0.0004370662727812835,2,0.14742399752140045,247.63647553215662,0.006096280062680259,2,0.9934972983185847,1.0065545108330856
4,16384,128,443.0488023489492,0.3296000063419342,0.3320320099592209,439.805445987863,0.004055997352903518,2,0.33641600608825684,434.0723551235851,0.0,2,0.9869644841450279,1.013203534591663
4,16384,512,531.2614068192901,1.0994880199432373,1.1033759713172913,529.39120343269,0.003690004148832804,2,1.1658079624176025,501.039256752495,0.00013723516144814596,2,0.9464442429410337,1.0565826995722731
4,16384,1024,491.8586364702237,2.375135898590088,2.3258079290390015,502.3434393315905,0.0207548416605281,2,2.440384030342102,478.9436554362268,0.04538020041931867,2,0.9534187528625853,1.0492629248841034
4,16384,4096,505.8048177986771,9.238592147827148,9.048719882965088,516.4183134927466,0.000456351636804353,2,9.664368152618408,483.520944594224,3.2564264094148143e-06,2,0.936297052139719,1.0680370569114783
4,32768,2,31.300774520723945,0.07289600372314453,0.07148800045251846,31.917494133345805,0.0053860374972294345,2,0.07083199918270111,32.2129419865199,0.003167339487507137,2,1.0092566118110577,0.9908236170313217
4,32768,8,117.71055112393633,0.07753600180149078,0.07044799998402596,129.5549209405716,0.005922596484967846,2,0.06969600170850754,130.95340362749846,0.007373328058699835,2,1.0107945161540282,0.9893254843900617
4,32768,32,228.44427792702487,0.1598079949617386,0.1515040025115013,240.96546354652116,0.0010565944750648981,2,0.15095999836921692,241.83377120301049,0.0006360877816937727,2,1.0036034527260032,0.9964093084455435
4,32768,128,431.8950215033711,0.3381119966506958,0.34304000437259674,425.70258544592434,0.010691212893284563,2,0.3481759876012802,419.4117861956179,0.0024845839412455106,2,0.9852225486398754,1.0149719658442662
4,32768,512,522.7414989131165,1.117408037185669,1.1338239908218384,515.1789491845087,0.006796502539879512,2,1.1997119784355164,486.88994919250365,0.00916399472909335,2,0.9450889830867808,1.0581113013545602
4,32768,1024,484.59197644200964,2.410752058029175,2.3398079872131348,499.3606867364356,0.02492419842217175,2,2.4797760248184204,471.1049267985484,0.003516143855329945,2,0.9434161304876595,1.0598203093459804
4,32768,4096,498.83818549086055,9.367615699768066,9.240367889404297,505.71640086566083,0.008370535540782376,2,10.064352035522461,464.3051390947374,0.002260057226197265,2,0.9181136666716017,1.0891722230088918
4,65536,2,31.508249197021716,0.07241600006818771,0.07147200033068657,31.924449073470548,0.0022411645414477377,2,0.07128000259399414,32.012156231706065,0.014925380992953707,2,1.0027473350607765,0.9973136649904285
4,65536,8,117.6134695206718,0.07760000228881836,0.07099199667572975,128.56105469595298,0.0004508600825279263,2,0.07071999832987785,129.05765106460092,0.008178057367312697,2,1.0038627278674899,0.9961686054965561
4,65536,32,216.85054850313034,0.16835199296474457,0.15697599947452545,232.56632703842723,0.0034715872907651324,2,0.15590399503707886,234.16480225233713,0.000821361519069308,2,1.0068732014400597,0.9931709022969428
4,65536,128,399.03838208667406,0.3659519851207733,0.3509120047092438,416.1412137635458,0.0012774560201007645,2,0.36422398686408997,400.93380739231463,0.004755609629588653,2,0.9634561397231082,1.037935385441932
4,65536,512,479.99187277403394,1.2169280052185059,1.1775200366973877,496.0557552993651,0.0005164450273635879,2,1.307200014591217,446.8451093469349,0.0016169970420005786,2,0.9007961394929649,1.1101297420445984
4,65536,1024,445.12859708235027,2.6244800090789795,2.465119957923889,474.03873836152115,0.03424967207331697,2,2.6947039365768433,433.5314474257448,0.005179090436933986,2,0.9145485639511515,1.093132984427382
4,65536,4096,458.6161493836655,10.189184188842773,10.528575897216797,443.9377724679383,0.031276285013143834,2,10.75809621810913,434.41303058013864,0.021584396318429677,2,0.9785448716498041,1.0217997498553444
4,131072,2,31.383435643664367,0.0727040022611618,0.07142399996519089,31.945921528186283,0.0026918105658944036,2,0.07163200154900551,31.85356023305967,0.007623376489137357,2,0.9971088235772094,1.0029122085561715
4,131072,8,115.75190066869595,0.07884799689054489,0.0708639994263649,128.7935817216583,0.0031659069395639783,2,0.07046400010585785,129.52533568764224,0.005464522589025966,2,1.0056816027336313,0.9943553945057435
4,131072,32,210.37261122457065,0.1735360026359558,0.1570879966020584,232.4004364622145,0.0032646648393030997,2,0.15654399991035461,233.20839244970287,0.004096712948235881,2,1.003476568287856,0.996536993892144
4,131072,128,362.7794648644388,0.40252798795700073,0.35551999509334564,410.7476608583404,0.0018018155588599427,2,0.36876800656318665,395.99123394653196,0.0005207516543281887,2,0.9640742277607329,1.0372637591490814
