case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,target_adjacent_overlap,achieved_adjacent_overlap,target_c4_consecutive_fraction,achieved_c4_consecutive_fraction,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,profile_bins,extrapolated_64k_plus,setup_alloc_ms,setup_quant_ms,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h2048_q128_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,128,2048,10,30,20260803,2026-08-12T08:24:59.492279+00:00,9.097951889038086,9.005663871765137,9.269023895263672,9.112573846181233,0.09547085612733806,513.6237776414602,33554432,4672924418048,0.968996062992126,0.968996062992126,0.722527752539372,0.9973115865031801,278528,120.47058823529412,160432128,3.06,"[""2K-8K""]",False,0.9334273636341095,7.289726287126541,40721.01478651166,2225079296,45.0,90.67,1755.0,1593.0,54.0,199.9,1680.0,1593.0
b128_h2048_q128_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,128,2048,10,30,20260803,2026-08-12T09:35:34.001897+00:00,9.106047630310059,9.081855773925781,9.961055755615234,9.278168455759685,0.30710619262290495,513.1671398789827,33554432,4672924418048,0.968996062992126,0.968996062992126,0.722527752539372,0.9973115865031801,278528,120.47058823529412,160432128,3.06,"[""2K-8K""]",False,0.9624101221561432,6.829787045717239,2752.0895674824715,2225079296,54.0,98.83,1755.0,1593.0,63.0,208.15,1665.0,1593.0
b128_h2048_q2_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,2,2048,10,30,20260803,2026-08-12T08:24:03.080358+00:00,0.2269439995288849,0.22393600642681122,0.22976000607013702,0.22682666778564453,0.0017968188556933779,321.7289030931479,524288,73014444032,1.0,1.0,0.722527752539372,1.0,262144,2.0,150994944,2.88,"[""2K-8K""]",False,0.8858740329742432,2.0924657583236694,1521.4250460267067,554976256,59.0,101.6,1755.0,1593.0,59.0,102.84,1755.0,1593.0
b128_h2048_q2_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,2,2048,10,30,20260803,2026-08-12T09:35:47.196934+00:00,0.22543999552726746,0.22412799298763275,0.22732800245285034,0.22562773327032726,0.0012333294200603964,323.8752904569178,524288,73014444032,1.0,1.0,0.722527752539372,1.0,262144,2.0,150994944,2.88,"[""2K-8K""]",False,0.6453059613704681,1.7812438309192657,133.74605774879456,554976256,57.0,123.51,1755.0,1593.0,57.0,123.41,1755.0,1593.0
b128_h2048_q32_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,32,2048,30,100,20260803,2026-08-12T09:55:53.302346+00:00,2.5417280197143555,2.538144111633301,2.560192108154297,2.5463327980041504,0.008375045126367938,459.62081522919516,8388608,1168231104512,0.9924395161290321,0.9924395161290321,0.722527752539372,0.9981739619006849,266240,31.50769230769231,153354240,2.925,"[""2K-8K""]",False,0.7775463163852692,3.003239631652832,321.41872122883797,952370176,75.0,261.42,1755.0,1593.0,80.0,258.16,1575.0,1593.0
b128_h2048_q32_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,32,2048,30,100,20260803,2026-08-12T09:55:57.783507+00:00,2.542880058288574,2.5394880771636963,2.585088014602661,2.549337601661682,0.015537925468474162,459.41258641127206,8388608,1168231104512,0.9924395161290321,0.9924395161290321,0.722527752539372,0.9981739619006849,266240,31.50769230769231,153354240,2.925,"[""2K-8K""]",False,0.8623301982879639,3.058984875679016,344.6296639740467,952370176,73.0,212.27,1755.0,1593.0,78.0,248.93,1725.0,1593.0
b128_h2048_q4096_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,4096,2048,10,30,20260803,2026-08-12T09:05:21.020543+00:00,319.87860107421875,310.97412109375,325.026123046875,319.87086283365886,4.0138523348862805,467.469786585821,1073741824,149533581377536,0.8212912087912088,0.8212912087912088,0.722527752539372,0.8931780365348562,785772,1366.480129095972,452604672,8.6327490234375,"[""2K-8K""]",False,122.62977287173271,159.4524346292019,652902.9951170087,58703479808,51.0,173.27,1650.0,1593.0,82.0,341.59,1515.0,1593.0
b128_h2048_q4096_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,4096,2048,10,30,20260803,2026-08-12T09:31:04.850183+00:00,321.20599365234375,311.8367919921875,323.63360595703125,319.9959187825521,4.0302695905721855,465.53795487198533,1073741824,149533581377536,0.8212912087912088,0.8212912087912088,0.722527752539372,0.8931780365348562,785772,1366.480129095972,452604672,8.6327490234375,"[""2K-8K""]",False,135.22137701511383,158.89886766672134,43776.42164379358,58703479808,53.0,177.13,1710.0,1593.0,84.0,338.81,1635.0,1593.0
b128_h2048_q512_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,512,2048,10,30,20260803,2026-08-12T08:27:46.565456+00:00,38.79267120361328,36.09628677368164,39.27164840698242,37.953741963704424,1.4079251468704241,481.8357976454839,134217728,18691697672192,0.882950097847358,0.882950097847358,0.722527752539372,0.9927017600102435,327568,409.7400478679236,188679168,3.59876953125,"[""2K-8K""]",False,1.1633336544036865,24.43510666489601,347260.648522526,7470056448,49.0,99.72,1740.0,1593.0,62.0,342.33,1605.0,1593.0
b128_h2048_q512_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,512,2048,10,30,20260803,2026-08-12T09:34:54.923981+00:00,38.69792175292969,36.093631744384766,39.94454574584961,38.20563735961914,1.5160055847732101,483.01554257954217,134217728,18691697672192,0.882950097847358,0.882950097847358,0.722527752539372,0.9927017600102435,327568,409.7400478679236,188679168,3.59876953125,"[""2K-8K""]",False,1.2081749737262726,23.369241505861282,23666.134644299746,7470056448,48.0,101.5,1755.0,1593.0,62.0,329.63,1710.0,1593.0
b128_h2048_q8_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,8,2048,10,30,20260803,2026-08-12T08:24:08.963622+00:00,0.5922560095787048,0.5879359841346741,0.5965120196342468,0.5923658708731333,0.0025580203264711685,493.1275857137394,2097152,292057776128,0.9983258928571427,0.9983258928571427,0.722527752539372,0.9993139218444227,263168,7.968871595330739,151584768,2.89125,"[""2K-8K""]",False,0.6795413792133331,2.0860061049461365,1617.5997331738472,634455040,52.0,96.72,1755.0,1593.0,52.0,105.75,1755.0,1593.0
b128_h2048_q8_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,8,2048,10,30,20260803,2026-08-12T09:35:45.050846+00:00,0.5985919833183289,0.5959360003471375,0.6037439703941345,0.599339735507965,0.002589065886922927,487.9079310567459,2097152,292057776128,0.9983258928571427,0.9983258928571427,0.722527752539372,0.9993139218444227,263168,7.968871595330739,151584768,2.89125,"[""2K-8K""]",False,2.0246170461177826,4.978366196155548,112.2928187251091,634455040,57.0,142.65,1755.0,1593.0,57.0,148.41,1755.0,1593.0
b128_h262144_q1024_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,262144,1024,2048,10,30,20260803,2026-08-12T09:00:53.763284+00:00,87.54659271240234,82.51805114746094,88.44412994384766,86.50879262288412,1.8526287690561412,427.0114254153955,268435456,37383395344384,0.50390625,0.50390625,0.3817648634796384,0.4072497492900333,27583684,9.73167529036368,15888201984,303.0434033203125,"[""64K+""]",True,2.086397260427475,201.16592571139336,129362.5874966383,33965474816,45.0,112.39,1620.0,1593.0,66.0,333.82,1710.0,1593.0
b128_h262144_q1024_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,262144,1024,2048,10,30,20260803,2026-08-12T09:32:14.923845+00:00,88.52281951904297,83.73222351074219,89.64383697509766,87.94572601318359,1.6149176350696666,422.3023571491881,268435456,37383395344384,0.50390625,0.50390625,0.3817648634796384,0.4072497492900333,27583684,9.73167529036368,15888201984,303.0434033203125,"[""64K+""]",True,2.0729824900627136,209.82170850038528,8680.919781327248,33965474816,59.0,121.45,1680.0,1593.0,73.0,341.81,1530.0,1593.0
b128_h262144_q128_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,262144,128,2048,10,30,20260803,2026-08-12T08:27:12.620730+00:00,10.356160163879395,10.336735725402832,10.634143829345703,10.413039875030517,0.1235458953382358,451.2217215746046,33554432,4672924418048,0.50390625,0.50390625,0.3817648634796384,0.4072282346960616,9073208,3.6981883364737147,5226167808,99.681240234375,"[""64K+""]",True,1.614004373550415,163.44134509563446,16153.874523937702,21401437184,45.0,91.65,1755.0,1593.0,53.0,216.98,1665.0,1593.0
