B,H,Q,random_tflops,shared_template_sim_tflops,independent_seed_sim_tflops,shared_vs_random,independent_vs_random,independent_vs_shared
2,524288,32,190.77771021800658,236.78931266380678,239.4231163578383,1.2411791314258964,1.2549847468252102,1.011122983822209
2,524288,128,274.80446457076823,326.308566247198,320.94687543995434,1.187420905831631,1.167909975339223,0.983568648322944
2,524288,512,343.12589767146585,472.9776871773739,473.3330511926488,1.3784377407450539,1.3794734072968544,1.0007513335721936
2,524288,1024,350.68703586523907,485.31488950632354,485.90420154577964,1.3838974352414295,1.3855778852700487,1.0012142879853854
2,524288,4096,345.82696150958583,453.63175163749963,461.3783871210469,1.311730437838999,1.3341307603868189,1.017076925183442
4,2048,2,31.355833468266614,31.68495902785348,31.81962070327309,1.0104964698170105,1.014791098934616,1.0042500189222663
4,2048,8,129.937438950348,129.08884725959987,130.92158803582407,0.9934692287488259,1.007574022494411,1.0141975144648905
4,2048,32,265.93255697317454,265.0602241906927,266.7747070588963,0.9967197217504667,1.0031667806879574,1.0064682766848116
4,2048,128,451.3751419395552,457.39235856178186,456.5459096709675,1.0133308551205782,1.011455588159316,0.9981494030781889
4,2048,512,529.1054989122485,533.3726233874362,534.1166134142752,1.0080647895059873,1.0094709174490317,1.0013948785412232
4,2048,1024,488.82905731090744,498.69962776815134,501.0255363020714,1.0201922743945353,1.0249503968897795,1.0046639468016634
4,2048,4096,516.1399064885054,491.88639918113995,489.1362722986297,0.9530098196197011,0.9476815610449663,0.9944090202797059
4,4096,2,31.191237853537068,31.43494898001633,31.797121248373408,1.0078134483672512,1.0194247947991468,1.0115213251526929
4,4096,8,129.1724029307952,129.38100744561314,130.0856081245201,1.0016149309766245,1.0070696617311838,1.005445935943907
4,4096,32,264.3305700380124,266.8033669889013,267.7145903556958,1.0093549412409366,1.0128022283506473,1.0034153368343077
4,4096,128,449.8622612628932,453.5962136930109,454.9301438629454,1.0083002126465008,1.011265409518516,1.002940787708685
4,4096,512,542.5678774602939,535.0380350864425,534.1149259962617,0.9861218426547885,0.9844204719534825,0.9982746851071408
4,4096,1024,494.6443133335567,512.8615794211545,509.68876690148727,1.036829021574768,1.0304146902378024,0.9938135109998916
4,4096,4096,515.9174727045098,495.1549506992686,479.81381648252386,0.9597561177829446,0.9300204817008316,0.9690175081657173
4,8192,2,31.466534516391825,31.53642276663721,31.902989521437924,1.0022210342295232,1.0138704503611204,1.0116235997187515
4,8192,8,112.3326786422475,129.055926727269,131.07268975698756,1.1488725123192425,1.1668259970406516,1.0156270469777071
4,8192,32,243.87572292115044,256.3134648860736,257.82096156490155,1.0510003284293472,1.0571817418999916,1.0058814572207435
4,8192,128,448.8445759898222,447.5899306104028,448.07350929005645,0.9972047219760815,0.9982821075690502,1.0010804056270752
4,8192,512,524.8759444799355,533.856774089144,531.8348727768321,1.01711038523228,1.0132582343886836,0.9962126521373422
4,8192,1024,503.4992660169805,514.1405347348335,513.9988817123294,1.0211346260780727,1.0208532889797595,0.9997244857914633
4,8192,4096,516.4958839929502,494.00089893497295,517.3697072745329,0.956446922898839,1.0016918300971291,1.0473051939580296
4,16384,2,31.34205057994209,31.502102240356493,31.960189423507035,1.005106611005115,1.0197223484783902,1.0145414797925358
4,16384,8,126.76119301234593,128.88647985410392,130.80155812846863,1.0167660684729514,1.031873833151201,1.0148586436415403
4,16384,32,230.89468857661078,246.18090057534533,249.25732153601393,1.0662042600155464,1.0795281739593177,1.0124965866705287
4,16384,128,443.0488023489492,437.6391385165464,439.805445987863,0.9877899143306066,0.9926794602673776,1.0049499856860602
4,16384,512,531.2614068192901,521.9721808346901,529.39120343269,0.9825147735834692,0.9964796927414751,1.0142134444524151
4,16384,1024,491.8586364702237,506.83740869362276,502.3434393315905,1.0304534089934718,1.0213166997261856,0.9911333116203567
4,16384,4096,505.8048177986771,516.0295843733137,516.4183134927466,1.0202148461517944,1.0209833819698688,1.0007533078164599
4,32768,2,31.300774520723945,31.50928902814845,31.917494133345805,1.006661640506258,1.019703014448206,1.0129550719101497
4,32768,8,117.71055112393633,128.04393466619445,129.5549209405716,1.0877863831542016,1.1006228388495476,1.0118005298596628
4,32768,32,228.44427792702487,239.02210042757733,240.96546354652116,1.0463037314680803,1.0548106773919552,1.0081304746107889
4,32768,128,431.8950215033711,427.2649091693435,425.70258544592434,0.989279542241745,0.9856621730996304,0.9963434307618275
4,32768,512,522.7414989131165,515.9597813131176,515.1789491845087,0.9870266324481612,0.9855329072891059,0.9984866414846878
