B,H,Q,random_tflops,random_latency_ms,sim_tflops,sim_latency_ms,sim_pass_spread,sim_overlap,sim_c4_consecutive,unique_kv,extrapolated,pass_count,sim_vs_random_tflops
2,4096,32,256.83267257610817,0.07107199728488922,260.34953914193056,0.07011199742555618,0.001827332404208848,0.8125,0.8735322896281801,8152,False,2,1.013693221078717
2,4096,128,371.00836604666574,0.19679999351501465,372.06888362085283,0.19624000042676926,0.004412557498022052,0.8125,0.8768346379647749,8436,False,2,1.002858473477263
2,4096,512,528.5386503264644,0.5525760054588318,520.1062115449744,0.5615360140800476,0.002853440982593991,0.8125,0.8692036906800391,9200,False,2,0.9840457480710605
2,4096,1024,528.5233716029362,1.1051839590072632,541.3390687023177,1.0790239572525024,0.003952108879924365,0.8125,0.8646142291462817,10232,False,2,1.024248118035941
2,4096,4096,513.4594042196499,4.550432205200195,507.3663733836691,4.60531210899353,0.014332507414498652,0.8124670902014652,0.8327290335280089,16372,False,2,0.9881333737664404
2,8192,2,15.782020560893754,0.07228799909353256,16.073765935385364,0.07097600027918816,0.0018049627386933498,0.677734375,0.6653620352250489,5416,False,2,1.01848593298722
2,8192,8,63.29620092534812,0.07209599763154984,64.07834034577209,0.07121599838137627,0.0004494416354778874,0.677734375,0.6811399217221135,10472,False,2,1.0123568146111397
2,8192,32,256.71708543067433,0.07110399752855301,260.8255426610623,0.06998400017619133,0.0009148134921197482,0.677734375,0.692606409001957,15848,False,2,1.0160038324815643
2,8192,128,365.364522169922,0.1998399943113327,367.01245961794905,0.19894400238990784,0.0051604973241559104,0.677734375,0.6886619373776908,16636,False,2,1.0045103926299135
2,8192,512,524.8005022082804,0.5565119981765747,522.5469962049414,0.5589120090007782,0.00045814115227571506,0.677734375,0.6840848978718199,17400,False,2,0.9957059759015919
2,8192,1024,524.0622355463682,1.1145919561386108,533.6861381743022,1.0944960117340088,0.003514601767207859,0.677734375,0.6828933387353229,18424,False,2,1.018364045289202
2,8192,4096,500.074950734541,4.672224044799805,512.0551823336878,4.563071966171265,0.011950763480994775,0.677734375,0.6756560741805284,24568,False,2,1.023956872027982
2,16384,2,15.754124598510858,0.07241600006818771,16.102822856601172,0.070847999304533,0.00271361947597204,0.6015625,0.5797455968688845,5728,False,2,1.022133775565243
