B,H,case_id,flops,flush_bytes,known_touched_bytes,known_touched_vs_l2,l2_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,seed,selected_kv_bytes,selected_kv_vs_l2,setup_alloc_ms,setup_indices_ms,setup_metadata_ms,setup_quant_ms,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_selected_kv,warmup
16,32768,descending_shared_b16_h32768,4563402752,268435456,3702784,0.070625,52428800,0.044144000858068466,0.04432213318844636,0.04416000097990036,0.04358400031924248,0.04495999962091446,0.0007308773885402815,2619.0,2619.0,32768,2,descending,0.07251686713627414,shared,2107408384,209.66,209.66,30,20260810,1343488,0.025625,1.1992759827990085,4.753402987262234,0.10023501818068326,6.823112984420732,,1980.0,1980.0,ok,44.0,44.0,103.37539105656018,2026-08-10T11:13:52.385393+00:00,2048,2048,5
16,32768,descending_independent_b16_h32768,4563402752,268435456,23855104,0.455,52428800,0.04638399928808212,0.04932586674888929,0.04649600014090538,0.04604800045490265,0.04758400097489357,0.014758554570936624,2619.0,2619.0,32768,2,descending,0.48409775506006447,independent,2107408384,209.66,209.66,30,20260810,21495808,0.41,1.1992759827990085,4.753402987262234,0.10023501818068326,6.823112984420732,,1980.0,1980.0,ok,44.0,44.0,98.38369759281656,2026-08-10T11:13:52.386950+00:00,2048,32768,5
32,32768,descending_shared_b32_h32768,9126805504,268435456,6062080,0.115625,52428800,0.05828800052404404,0.05821866678694884,0.05830400064587593,0.056992001831531525,0.059039998799562454,0.0006746529281279751,2619.0,2619.0,65536,2,descending,0.05491529970296227,shared,3944546304,209.66,210.59,30,20260810,1343488,0.025625,1.0702819854486734,8.948983013397083,0.12675797916017473,13.044589984929189,,1980.0,1980.0,ok,44.0,43.0,156.5812192845409,2026-08-10T11:13:52.320105+00:00,2048,2048,5
32,32768,descending_independent_b32_h32768,9126805504,268435456,47710208,0.91,52428800,0.061504000797867775,0.061581866815686226,0.0613120011985302,0.06035200133919716,0.0628800019621849,0.0009487587110565786,2619.0,2619.0,65536,2,descending,0.6263034824646407,independent,3944546304,209.66,210.59,30,20260810,42991616,0.82,1.0702819854486734,8.948983013397083,0.12675797916017473,13.044589984929189,,1980.0,1980.0,ok,44.0,43.0,148.39513413205592,2026-08-10T11:13:52.321598+00:00,2048,65536,5
1,32768,descending_shared_b1_h32768,285212672,268435456,1490944,0.0284375,52428800,0.03419199958443642,0.034144000088175135,0.03404799848794937,0.03376000002026558,0.03500799834728241,0.0003694112952734843,2619.0,2619.0,2048,2,descending,0.8458711400496144,shared,383313920,211.54,227.3,30,20260810,1343488,0.025625,0.6522820040117949,0.6748829910065979,0.08046001312322915,1.1551200004760176,,1980.0,1980.0,ok,44.0,46.0,8.341651099722746,2026-08-10T11:13:52.159868+00:00,2048,2048,5
1,32768,descending_independent_b1_h32768,285212672,268435456,1490944,0.0284375,52428800,0.0340960007160902,0.03413119999070962,0.033984001725912094,0.03359999880194664,0.034752000123262405,0.0007061591097173937,2619.0,2619.0,2048,2,descending,0.6591277335812551,independent,383313920,211.54,227.3,30,20260810,1343488,0.025625,0.6522820040117949,0.6748829910065979,0.08046001312322915,1.1551200004760176,,1980.0,1980.0,ok,44.0,46.0,8.365079290444017,2026-08-10T11:13:52.161298+00:00,2048,2048,5
64,32768,descending_shared_b64_h32768,18253611008,268435456,10780672,0.205625,52428800,0.08166399970650673,0.08200640032688776,0.08153600245714188,0.08044800162315369,0.08470399677753448,0.001241999468919704,2619.0,2619.0,131072,2,descending,0.3139649860370186,shared,4636147712,222.25,215.28,30,20260810,1343488,0.025625,1.2004559976048768,17.351587011944503,0.1518569770269096,25.674225005786866,,1980.0,1980.0,ok,45.0,44.0,223.52145273442716,2026-08-10T11:13:52.524895+00:00,2048,2048,5
64,32768,descending_independent_b64_h32768,18253611008,268435456,95420416,1.82,52428800,0.08857600018382072,0.0886112002034982,0.08851200342178345,0.08767999708652496,0.08982399851083755,0.0006343939297831318,2619.0,2619.0,131072,2,descending,0.14460583776940705,independent,4636147712,222.25,215.28,30,20260810,85983232,1.64,1.2004559976048768,17.351587011944503,0.1518569770269096,25.674225005786866,,1980.0,1980.0,ok,45.0,44.0,206.0786273798966,2026-08-10T11:13:52.526272+00:00,2048,131072,5
8,32768,descending_shared_b8_h32768,2281701376,268435456,2523136,0.048125,52428800,0.036879999563097954,0.03703680001199246,0.036768000572919846,0.036320000886917114,0.037696000188589096,0.0008922436830077848,2619.0,2619.0,16384,2,descending,0.6092199109711594,shared,1187463168,227.3,227.3,30,20260810,1343488,0.025625,1.1660789896268398,2.646092005306855,0.0901640160009265,3.7414089892990887,,1980.0,1980.0,ok,46.0,46.0,61.868829883565766,2026-08-10T11:13:52.065745+00:00,2048,2048,5
8,32768,descending_independent_b8_h32768,2281701376,268435456,11927552,0.2275,52428800,0.03807999938726425,0.03806613298753898,0.0379519984126091,0.03731200098991394,0.03907199949026108,0.000525143426355047,2619.0,2619.0,16384,2,descending,0.6745414207891764,independent,1187463168,227.3,227.3,30,20260810,10747904,0.205,1.1660789896268398,2.646092005306855,0.0901640160009265,3.7414089892990887,,1980.0,1980.0,ok,46.0,46.0,59.91930655239632,2026-08-10T11:13:52.067023+00:00,2048,16384,5
