B,H,Q,original_tflops,trace_tflops,trace_vs_original_tflops,original_latency_ms,trace_latency_ms,original_overlap,trace_overlap,overlap_delta,original_unique_kv,trace_unique_kv,original_vs_trace_unique_kv,trace_c4_consecutive_fraction,original_pass_spread,trace_pass_spread,complete_two_pass
128,16384,64,476.5712065544137,491.66240399504136,1.0316661964320846,4.9028801918029785,4.752511978149414,0.12490009126209077,0.6705867222377232,0.5456866309756324,2104260,1051576,2.0010536566068455,0.5416694536601027,0.013774321847713766,0.017167929208855792,True
128,16384,256,479.42457709984103,511.82625871091057,1.0675845235283419,19.493887901306152,18.259807586669922,0.12372173234528186,0.6793155445772059,0.5555938122319241,2129026,1415080,1.5045269525397857,0.5348452215325343,0.00023318805153427213,0.00026639858263410865,True
128,16384,1024,480.88253559012924,482.47782817405334,1.0033174267432408,77.74264144897461,77.48212814331055,0.1211201993134947,0.6848376321652767,0.563717432851782,2227338,1788928,1.2450685550228964,0.5317408940563464,0.013510533507352207,0.0012054638498781856,True
128,16384,2048,480.9186420256205,488.6714527412598,1.0161208363289571,155.46746063232422,153.0031509399414,0.11766083367463724,0.6760175636936294,0.5583567300189922,2358297,1946700,1.2114331946370782,0.5297196793229613,0.004690761076747041,0.00894207530676927,True
128,32768,64,453.81876141844657,485.91672400267896,1.0707285932470214,5.1484479904174805,4.808559894561768,0.06239918300083706,0.6078718881758431,0.5454727051750061,4143129,1537640,2.694472698420957,0.4624878646342955,0.0003729481943832713,0.013000900675027127,True
128,32768,256,467.7867842557873,508.56960714457284,1.0871825033570963,19.978864669799805,18.376736640930176,0.06248821183746936,0.5912311628753064,0.5287429510378371,4225171,2333472,1.810679965304919,0.45234091921095276,9.451810279448303e-05,0.0006201387167146244,True
128,32768,1024,473.2501810474422,482.88755405393283,1.0203642246584255,78.9932632446289,77.4164924621582,0.06135720917672822,0.5879244389538658,0.5265672297771375,4323406,3244396,1.3325765412113688,0.4361644528383378,0.004407883197774076,0.002647695283439333,True
128,32768,2048,477.26358999167667,486.45610302264674,1.01926087223861,156.6626205444336,153.69722747802734,0.060421780137591787,0.5557068199079445,0.49528503977035265,4454413,3571820,1.2470989579542082,0.4310215541294643,0.011803992259670881,0.002963172860864116,True
128,65536,64,394.24685953659605,460.5104150568838,1.1680763052828753,5.926432132720947,5.074431896209717,0.032335311647445436,0.35459851461743547,0.32226320296999,7373676,2732032,2.6989713151236883,0.35796724980124756,0.005088453030259954,0.025365565670784962,True
128,65536,256,426.6678764393681,500.66173863661595,1.173422622801468,21.904271125793457,18.667360305786133,0.032053479961320464,0.3866701612285539,0.35461668126723345,8415315,3941496,2.1350560802294356,0.3682512555803572,6.574496578615197e-05,0.008919272303312242,True
