B,H,Q,pattern,latency_ms,latency_ms_pass_min,latency_ms_pass_max,pass_spread,tflops,tflops_pass_min,tflops_pass_max,adjacent_overlap,unique_kv,reuse_factor,c4_consecutive_fraction,pass_count
8,32768,1024,original_strided,4.87609601020813,4.875904083251953,4.876287937164307,7.872466434921677e-05,479.1665725515698,479.1477121801623,479.1854329229773,0.05906395338847141,270217,62.08793673232994,,2
8,32768,2048,csa_trace_replay,9.095759868621826,9.056960105895996,9.134559631347656,0.008567943829314695,513.7569061248621,511.5653744283002,515.9484378214241,0.553346098139045,232100,144.56885825075398,0.4432453073400807,2
8,32768,2048,original_strided,9.14473581314087,9.113696098327637,9.175775527954102,0.00681166334236849,511.001996261072,509.26751682317035,512.7364756989737,0.05920917043234001,278393,120.52900755406925,,2
8,65536,64,csa_trace_replay,0.3356959968805313,0.33561599254608154,0.3357760012149811,0.00047676115695693966,435.0033891233751,434.89971747714276,435.10706076960736,0.46844385540674605,139724,7.504623400417967,0.3585799902152642,2
8,65536,64,original_strided,0.3899040073156357,0.3898560106754303,0.38995200395584106,0.00024622752447611695,374.5252357937456,374.47913225889357,374.5713393285976,0.0325927734375,447368,2.3438779707086783,,2
8,65536,256,csa_trace_replay,1.1441919803619385,1.1435840129852295,1.1447999477386475,0.0010632666595642437,510.50499146724735,510.23373420816307,510.77624872633163,0.4404909620098039,219016,19.15067392336633,0.3646792059075342,2
8,65536,256,original_strided,1.2455840110778809,1.2448320388793945,1.2463359832763672,0.0012081504572507562,468.94931209104834,468.66620244765573,469.23242173444095,0.03703254250919118,526028,7.97353753032158,,2
8,65536,1024,csa_trace_replay,4.594079971313477,4.588287830352783,4.59987211227417,0.0025247504842118573,508.5819005333577,507.94068878337936,509.22311228333615,0.47358221835288367,310568,54.02107106978182,0.37160114206213307,2
8,65536,1024,original_strided,5.039743900299072,4.959712028503418,5.119775772094727,0.032272789765096066,463.7242706599211,456.36026127528044,471.0882800445618,0.032800996991080154,532242,31.52178144528241,,2
8,65536,2048,csa_trace_replay,9.12337589263916,9.1146240234375,9.13212776184082,0.0019204015830287524,512.1929396693024,511.70160338471317,512.6842759538915,0.5106991319232413,381572,87.93735389389158,0.3771431581381482,2
8,65536,2048,original_strided,10.060431957244873,10.035072326660156,10.08579158782959,0.00505419986208655,464.48841662320626,463.317566832014,465.6592664143986,0.031198416795157547,540404,62.09138348346792,,2
32,8192,64,csa_trace_replay,1.131488025188446,1.1312960386276245,1.1316800117492676,0.0003394099409284035,516.2366335917759,516.1490405340969,516.3242266494548,0.7256547231522817,199580,21.01565287102916,0.5979553342098827,2
32,8192,64,original_strided,1.1200639605522156,1.1087039709091187,1.1314239501953125,0.020492376578721716,521.5556114799344,516.2658543291105,526.8453686307582,0.2503696017795139,264075,15.883002934772318,,2
32,8192,256,csa_trace_replay,4.556080102920532,4.5366082191467285,4.575551986694336,0.008584335623968098,512.832266737448,510.6405119684818,515.0240215064141,0.7264827952665441,230224,72.87344499270276,0.6037048220401174,2
32,8192,256,original_strided,4.8174238204956055,4.782623767852783,4.852223873138428,0.014552703424733915,485.02772983087607,481.5239919078119,488.53146775394026,0.24627637676164216,270239,62.08288218946932,,2
32,8192,1024,csa_trace_replay,17.99278450012207,17.92403221130371,18.06153678894043,0.007671520337371618,519.4296244242474,517.4448301552455,521.4144186932493,0.7389809766006843,252892,265.3657055185613,0.6159856090806934,2
32,8192,1024,original_strided,18.058448791503906,18.052064895629883,18.06483268737793,0.0007072759721320487,517.5333779752534,517.3504232134978,517.716332737009,0.2357016346205248,294796,227.64509694839822,,2
32,8192,2048,csa_trace_replay,37.72820854187012,37.47068786621094,37.9857292175293,0.013745180049998362,495.4533830162528,492.07157680591087,498.8351892265947,0.7503041918241634,257832,520.5627230134351,0.6291332804760121,2
32,8192,2048,original_strided,38.23184013366699,38.16361618041992,38.30006408691406,0.0035753400791234125,488.9055072497101,488.03306516080664,489.77794933861355,0.22321918526683485,327561,409.74880403955297,,2
